field,ru,en,es,pt
pages.tokenPage.eventTimer.endEventLabel,{eventName} закончится,{eventName ends,{eventName} terminará,{eventName} terminará
pages.tokenPage.eventTimer.days,дней,day(s),dia(s),dia(s)
pages.tokenPage.eventTimer.hours,часов,hour(s),hora(s),hora(s)
pages.tokenPage.eventTimer.minutes,минут,minute(s),minuto(s),minuto(s)
pages.tokenPage.eventTimer.seconds,секунд,second(s),segundo(s),segundo(s)
pages.tokenPage.eventTimer.eventEndWarning,{eventName} завершился,{eventName} ended,{eventName} terminó,{eventName} terminou
pages.tokenPage.manageAuctionForm.currentBid,Текущая ставка,Current bid,Apuesta actual,Aposta atual
pages.tokenPage.manageAuctionForm.minBid,Мин ставка,Minimum bid,Apuesta mínima,Aposta mínima
pages.tokenPage.manageAuctionForm.eventName,Аукцион,Auction,Subasta,Leilão
pages.tokenPage.manageAuctionForm.auctionExpiredText,Аукцион закончен,Auction ended,Subasta finalizada,Leilão encerrado
pages.tokenPage.manageAuctionForm.hasBidWarning,Уже есть ставка,Bids are made,Ya existe una apuesta,Já existe uma aposta
pages.tokenPage.manageAuctionForm.finalizeButton,Завершить,Finish,Finalizar,Finalizar
pages.tokenPage.manageAuctionForm.cancelButton,Отменить,Cancel,Cancelar,Cancelar
pages.tokenPage.manageLotteryForm.ticketPriceLabel,Цена за билет,Ticket price,Precio de un billete,Preço de um bilhete
pages.tokenPage.manageLotteryForm.ticketsLeftLabel,Осталось,Left,Quedan,Restam
pages.tokenPage.manageLotteryForm.soldOutLabel,Всё продано,Everything is sold out,Todo está vendido,Esgotado
pages.tokenPage.manageLotteryForm.ticketsLeftValueLabel,Осталось {ticketsLeft},Left: {ticketsLeft},Quedan {ticketsLeft},{ticketsLeft} restantes
pages.tokenPage.manageLotteryForm.soldShare,Доля {share},Share: {share},Porcentaje {share},Porcentagem {share}
pages.tokenPage.manageLotteryForm.eventName,Лотерея,Lottery,Lotería,Loteria
pages.tokenPage.manageLotteryForm.lotteryNotEndedMessage,Лотерея ещё не закончена,Lottery is still on,La lotería aún no ha terminado,A loteria ainda não terminou
pages.tokenPage.manageLotteryForm.winnerLabel,Победитель,Winner,Ganador,Vencedor
pages.tokenPage.manageLotteryForm.finalizeButton,Завершить,Finalize,Finalizar,Finalizar
pages.tokenPage.manageLotteryForm.cancelButton,Отменить,Cancel,Cancelar,Cancelar
pages.tokenPage.managerTokenForm.royaltyFeeLabel,Комиссия автора,Royalty,Royalty,Royalty
pages.tokenPage.managerTokenForm.sellButton,Продать,Sell,Vender,Vender
pages.tokenPage.managerTokenForm.createAuctionButton,Создать аукцион,Create an auction,Crear una subasta,Criar um leilão
pages.tokenPage.managerTokenForm.createLotteryButton,Создать лотерею,Create a lottery,Crear una loteria,Criar uma loteria
pages.tokenPage.managerTokenForm.transferToAccountButton,Передать,Transfer,Transferir,Transferir
pages.tokenPage.managerTokenForm.burnTokenButton,Сжечь,Burn,Quemar,Queimar
pages.tokenPage.tokenHistory.eventColumnLabel,Событие,Event,Evento,Evento
pages.tokenPage.tokenHistory.mintEventLabel,Создание,Creation,Creación,Criação
pages.tokenPage.tokenHistory.sellEventLabel,Покупка,Purchase,Compra,Compra
pages.tokenPage.tokenHistory.auctionBidEventLabel,Ставка,Bid,Apuesta,Aposta
pages.tokenPage.tokenHistory.auctionBuyNowEventLabel,Покупка (аукцион),Purchase (auction),Compra (subasta),Compra (leilão)
pages.tokenPage.tokenHistory.lotteryEventLabel,Лотерея,Lottery,Lotería,Loteria
pages.tokenPage.tokenHistory.priceColumnLabel,Цена,Price,Precio,Preço
pages.tokenPage.tokenHistory.fromColumnLabel,Отправил,From,De,De
pages.tokenPage.tokenHistory.toColumnLabel,Получил,To,Para,Para
pages.tokenPage.tokenHistory.txColumnLabel,TX,TX,TX,TX
pages.tokenPage.tokenHistory.dateColumnLabel,Событие произошло,Event happened,El evento ya sucedió ,O evento já aconteceu
pages.tokenPage.tokenHistory.scannerLinkLabel,Открыть сканер,Open scanner,Abrir escáner,Abrir escâner
